127.0.0.1 - - [05/Feb/2023:10:34:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:34:53 +0530] "GET /StudentManagment/ HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:34:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:35:31 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:35:31 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:35:38 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:35:55 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:35:55 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:36:08 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:36:08 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:36:18 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:36:18 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:15 +0530] "GET /StudentManagment/students/ HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:15 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:20 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:20 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:53 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:37:53 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:39:13 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:39:14 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:39:22 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:39:30 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:39:30 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:42:33 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:42:33 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:42:39 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:42:46 +0530] "GET /StudentManagment/students HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:42:46 +0530] "GET /StudentManagment/src/main/webapp/resources/css/decor.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:43:50 +0530] "GET /StudentManagment/students HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Feb/2023:10:43:50 +0530] "GET /StudentManagment/css/css/decor.css HTTP/1.1" 200 43
