127.0.0.1 - - [03/Mar/2023:14:24:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:24:51 +0530] "GET /SpringSecurity/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:24:52 +0530] "GET /SpringSecurity/login HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:24:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:00 +0530] "POST /SpringSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:00 +0530] "GET /SpringSecurity/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:40 +0530] "GET /SpringSecurity/logout HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:42 +0530] "POST /SpringSecurity/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:42 +0530] "GET /SpringSecurity/login?logout HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:49 +0530] "GET /SpringSecurity/bye HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:49 +0530] "GET /SpringSecurity/login HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:25:56 +0530] "GET /SpringSecurity/welcome HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:27:24 +0530] "GET /SpringSecurity/welcome HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:27:29 +0530] "GET /SpringSecurity/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:27:29 +0530] "GET /SpringSecurity/login HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:27:37 +0530] "POST /SpringSecurity/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:27:37 +0530] "GET /SpringSecurity/login?error HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:29:56 +0530] "POST /SpringSecurity/login?error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:29:56 +0530] "GET /SpringSecurity/login?error HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:04 +0530] "POST /SpringSecurity/login?error HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:04 +0530] "GET /SpringSecurity/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:06 +0530] "GET /SpringSecurity/login?error HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:41 +0530] "GET /SpringSecurity/logout HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:43 +0530] "POST /SpringSecurity/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:43 +0530] "GET /SpringSecurity/login?logout HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:50 +0530] "POST /SpringSecurity/login?logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:50 +0530] "GET /SpringSecurity/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:30:54 +0530] "GET /SpringSecurity/bye HTTP/1.1" 200 3
